Age,CZ01
0,0
1,0
2,0.28
3,0.83
4,0.91
5,0.95
6,0.98
7,0.98
8,0.98
9,0.98
10,0.98
11,0.98
12,0.98
13,0.98
14,0.98
15,0.98
16,0.97
17,0.94
18,0.83
19,0.65
20,0.54
21,0.47
22,0.39
23,0.30
24,0.18
25,0.09
26,0.03
27,0.03
28,0.02
29,0.02
30,0.01
31,0.01
32,0.01
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
